1;2383.00;11.50;1414.00;big
1;2476.00;10.32;1411.00;big
2;2443.00;9.70;1603.00;big
2;2526.00;9.70;1540.00;big
3;2648.00;9.70;1512.00;big
3;2662.00;9.70;1606.00;big
4;2570.00;10.18;1425.00;big
4;2658.00;9.88;1409.00;big
5;2873.00;9.70;1435.00;big
5;2749.00;9.70;1453.00;big
6;2864.00;9.70;1569.00;big
6;2779.00;9.70;1562.00;big
7;2958.00;9.70;1496.00;big
7;3106.00;9.70;1442.00;big
8;2935.00;9.70;1371.00;big
8;3032.00;9.70;1370.00;big
9;2725.00;9.70;1314.00;big
9;2817.00;9.70;1289.00;big
10;2872.00;9.70;1253.00;big
10;3001.00;9.70;1295.00;big
11;3100.00;9.70;1352.00;big
11;3152.00;9.70;1369.00;big
12;2960.00;9.70;1176.00;big
12;2889.00;9.70;1180.00;big
13;2661.00;9.70;1234.00;big
13;2615.00;9.70;1323.00;big
14;3215.00;9.70;1307.00;big
14;3286.00;9.70;1388.00;big
15;3277.00;10.82;1141.00;big
15;3151.00;9.70;1174.00;big
16;3400.00;9.70;1102.00;big
16;3519.00;13.18;1045.00;big
17;3525.00;9.70;1260.00;big
17;3377.00;9.70;1278.00;big
18;3452.00;9.70;1443.00;big
18;3328.00;9.70;1495.00;big
19;3580.00;9.70;1570.00;big
19;3430.00;9.70;1585.00;big
20;2218.00;11.48;917.00;big
20;2208.00;10.73;989.00;big
21;2135.00;10.15;1386.00;big
21;2265.00;11.07;1409.00;big
22;2325.00;13.65;1052.00;big
22;2223.00;11.62;1077.00;big
23;2080.00;10.03;1196.00;big
23;1964.00;10.32;1213.00;big
24;2013.00;12.53;1124.00;big
24;2117.00;11.10;1102.00;big
25;1801.00;10.05;1070.00;big
25;1878.00;11.68;999.00;big
26;1814.00;9.70;1832.00;big
26;1696.00;9.70;1890.00;big
27;2471.00;9.70;1781.00;big
27;2356.00;9.70;1831.00;big
28;2537.00;9.70;2055.00;big
28;2449.00;9.70;2073.00;big
29;2705.00;9.70;1683.00;big
29;2710.00;9.70;1752.00;big
30;979.00;9.75;538.00;big
30;847.00;13.80;385.00;big
31;647.00;10.30;125.00;big
